epoch,train_loss,val_bce_loss,val_log_loss,val_benign_log_loss,val_standalone_log_loss,val_brier_score,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_roc_auc,val_pr_auc,val_f1,val_mcc,val_ece,val_benign_mean_score,val_standalone_mean_score,val_optimal_threshold,val_optimal_accuracy,val_optimal_f1,aug_val_bce_loss,aug_val_log_loss,aug_val_benign_log_loss,aug_val_standalone_log_loss,aug_val_brier_score,aug_val_accuracy,aug_val_balanced_accuracy,aug_val_precision,aug_val_recall,aug_val_roc_auc,aug_val_pr_auc,aug_val_f1,aug_val_mcc,aug_val_ece,aug_val_benign_mean_score,aug_val_standalone_mean_score,aug_val_optimal_threshold,aug_val_optimal_accuracy,aug_val_optimal_f1
15,0.687976,0.687852,0.687852,0.724668,0.651036,0.247357,0.500000,0.500000,0.500000,1.000000,0.980903,0.984419,0.666667,0.000000,0.018510,0.515510,0.521510,0.519357,0.958333,0.956522,0.687625,0.687625,0.724216,0.651034,0.247243,0.500000,0.500000,0.500000,1.000000,0.982639,0.985784,0.666667,0.000000,0.018401,0.515291,0.521511,0.519272,0.958333,0.956522
16,0.686701,0.686902,0.686902,0.707617,0.666186,0.246879,0.500000,0.500000,0.500000,1.000000,0.987847,0.990591,0.666667,0.000000,0.010424,0.507179,0.513670,0.510760,0.979167,0.978723,0.686661,0.686661,0.707138,0.666185,0.246759,0.500000,0.500000,0.500000,1.000000,0.987847,0.990591,0.666667,0.000000,0.010306,0.506943,0.513670,0.510760,0.979167,0.978723
17,0.686698,0.685847,0.685847,0.737914,0.633779,0.246361,0.500000,0.500000,0.500000,1.000000,0.986111,0.988855,0.666667,0.000000,0.026237,0.521881,0.530593,0.526600,0.958333,0.958333,0.685517,0.685517,0.737224,0.633811,0.246197,0.500000,0.500000,0.500000,1.000000,0.987847,0.990591,0.666667,0.000000,0.026064,0.521552,0.530576,0.526600,0.979167,0.978723
18,0.689990,0.685597,0.685597,0.686538,0.684655,0.246225,0.958333,0.958333,0.958333,0.958333,0.986111,0.989583,0.958333,0.916667,0.454374,0.496680,0.504272,0.501005,0.979167,0.978723,0.685320,0.685320,0.685972,0.684669,0.246087,0.958333,0.958333,0.958333,0.958333,0.987847,0.990591,0.958333,0.916667,0.454290,0.496396,0.504265,0.501002,0.979167,0.978723
19,0.691323,0.685274,0.685274,0.750373,0.620176,0.246083,0.500000,0.500000,0.500000,1.000000,0.986111,0.988855,0.666667,0.000000,0.032830,0.527798,0.537863,0.533277,0.958333,0.958333,0.684885,0.684885,0.749560,0.620211,0.245889,0.500000,0.500000,0.500000,1.000000,0.987847,0.990591,0.666667,0.000000,0.032629,0.527415,0.537843,0.533277,0.979167,0.978723
20,0.684206,0.685541,0.685541,0.670261,0.700821,0.246198,0.562500,0.562500,1.000000,0.125000,0.979167,0.985169,0.222222,0.258199,0.054666,0.488421,0.496187,0.492627,0.958333,0.958333,0.685259,0.685259,0.669675,0.700843,0.246057,0.541667,0.541667,1.000000,0.083333,0.987847,0.990591,0.153846,0.208514,0.033679,0.488122,0.496176,0.492586,0.979167,0.978723
21,0.685422,0.683162,0.683162,0.708352,0.657972,0.245011,0.500000,0.500000,0.500000,1.000000,0.984375,0.987847,0.666667,0.000000,0.012726,0.507536,0.517916,0.513342,0.958333,0.958333,0.682765,0.682765,0.707527,0.658004,0.244813,0.500000,0.500000,0.500000,1.000000,0.987847,0.990591,0.666667,0.000000,0.012515,0.507131,0.517898,0.513643,0.979167,0.978723
22,0.683535,0.682085,0.682085,0.697003,0.667167,0.244471,0.625000,0.625000,0.571429,1.000000,0.979167,0.985169,0.727273,0.377964,0.117008,0.501915,0.513179,0.508103,0.958333,0.958333,0.681663,0.681663,0.696121,0.667204,0.244260,0.625000,0.625000,0.571429,1.000000,0.987847,0.990591,0.727273,0.377964,0.117266,0.501477,0.513159,0.508404,0.979167,0.978723
23,0.685498,0.681061,0.681061,0.709296,0.652826,0.243963,0.500000,0.500000,0.500000,1.000000,0.980903,0.986009,0.666667,0.000000,0.014296,0.507997,0.520595,0.514941,0.958333,0.958333,0.680581,0.680581,0.708296,0.652866,0.243723,0.500000,0.500000,0.500000,1.000000,0.987847,0.990591,0.666667,0.000000,0.014040,0.507507,0.520573,0.515333,0.979167,0.978723
24,0.681007,0.680968,0.680968,0.668094,0.693842,0.243912,0.729167,0.729167,1.000000,0.458333,0.977431,0.983357,0.628571,0.545250,0.220809,0.487307,0.499677,0.493925,0.958333,0.958333,0.680532,0.680532,0.667179,0.693885,0.243694,0.729167,0.729167,1.000000,0.458333,0.991319,0.992816,0.628571,0.545250,0.220583,0.486839,0.499654,0.493924,0.979167,0.978723
