batch_id,config_local,timing_status,wns,lut_count,ff_count,bram_count,dsp_count,bin_exists,bin_path
STAND_FP00,11,PASS,0.044,62336,14331,34,0,True,/pub/scratch/sdeheredia/Coyote/examples/full_dataset_it1/builds/STAND_FP00/build_hw/bitstreams/config_11/vfpga_c11_0.bin
STAND_FP00,12,PASS,0.044,65336,14331,34,0,True,/pub/scratch/sdeheredia/Coyote/examples/full_dataset_it1/builds/STAND_FP00/build_hw/bitstreams/config_12/vfpga_c12_0.bin
STAND_FP00,13,PASS,0.044,68336,14331,34,0,True,/pub/scratch/sdeheredia/Coyote/examples/full_dataset_it1/builds/STAND_FP00/build_hw/bitstreams/config_13/vfpga_c13_0.bin
STAND_FP00,14,PASS,0.044,74336,14331,34,0,True,/pub/scratch/sdeheredia/Coyote/examples/full_dataset_it1/builds/STAND_FP00/build_hw/bitstreams/config_14/vfpga_c14_0.bin
STAND_FP01,0,FAIL,-0.142,8944,15381,34.5,0,True,/pub/scratch/sdeheredia/Coyote/examples/full_dataset_it1/builds/STAND_FP01/build_hw/bitstreams/config_0/vfpga_c0_0.bin
STAND_FP01,1,FAIL,-0.142,8980,15381,34.5,0,True,/pub/scratch/sdeheredia/Coyote/examples/full_dataset_it1/builds/STAND_FP01/build_hw/bitstreams/config_1/vfpga_c1_0.bin
STAND_FP01,2,FAIL,-0.142,9124,15381,34.5,0,True,/pub/scratch/sdeheredia/Coyote/examples/full_dataset_it1/builds/STAND_FP01/build_hw/bitstreams/config_2/vfpga_c2_0.bin
STAND_FP01,3,FAIL,-0.142,9700,15381,34.5,0,True,/pub/scratch/sdeheredia/Coyote/examples/full_dataset_it1/builds/STAND_FP01/build_hw/bitstreams/config_3/vfpga_c3_0.bin
STAND_FP01,4,FAIL,-0.142,12004,15381,34.5,0,True,/pub/scratch/sdeheredia/Coyote/examples/full_dataset_it1/builds/STAND_FP01/build_hw/bitstreams/config_4/vfpga_c4_0.bin
STAND_FP01,5,FAIL,-0.142,21220,15381,34.5,0,True,/pub/scratch/sdeheredia/Coyote/examples/full_dataset_it1/builds/STAND_FP01/build_hw/bitstreams/config_5/vfpga_c5_0.bin
STAND_FP01,6,FAIL,-0.142,33508,15381,34.5,0,True,/pub/scratch/sdeheredia/Coyote/examples/full_dataset_it1/builds/STAND_FP01/build_hw/bitstreams/config_6/vfpga_c6_0.bin
STAND_FP01,7,FAIL,-0.142,38932,15381,34.5,0,True,/pub/scratch/sdeheredia/Coyote/examples/full_dataset_it1/builds/STAND_FP01/build_hw/bitstreams/config_7/vfpga_c7_0.bin
STAND_FP01,8,FAIL,-0.142,44896,15381,34.5,0,True,/pub/scratch/sdeheredia/Coyote/examples/full_dataset_it1/builds/STAND_FP01/build_hw/bitstreams/config_8/vfpga_c8_0.bin
STAND_FP01,9,FAIL,-0.142,50896,15381,34.5,0,True,/pub/scratch/sdeheredia/Coyote/examples/full_dataset_it1/builds/STAND_FP01/build_hw/bitstreams/config_9/vfpga_c9_0.bin
STAND_FP01,10,FAIL,-0.142,56896,15381,34.5,0,True,/pub/scratch/sdeheredia/Coyote/examples/full_dataset_it1/builds/STAND_FP01/build_hw/bitstreams/config_10/vfpga_c10_0.bin
STAND_FP01,11,FAIL,-0.142,62896,15381,34.5,0,True,/pub/scratch/sdeheredia/Coyote/examples/full_dataset_it1/builds/STAND_FP01/build_hw/bitstreams/config_11/vfpga_c11_0.bin
STAND_FP01,12,FAIL,-0.142,65896,15381,34.5,0,True,/pub/scratch/sdeheredia/Coyote/examples/full_dataset_it1/builds/STAND_FP01/build_hw/bitstreams/config_12/vfpga_c12_0.bin
STAND_FP01,13,FAIL,-0.142,68896,15381,34.5,0,True,/pub/scratch/sdeheredia/Coyote/examples/full_dataset_it1/builds/STAND_FP01/build_hw/bitstreams/config_13/vfpga_c13_0.bin
STAND_FP01,14,FAIL,-0.142,74896,15381,34.5,0,True,/pub/scratch/sdeheredia/Coyote/examples/full_dataset_it1/builds/STAND_FP01/build_hw/bitstreams/config_14/vfpga_c14_0.bin
STAND_FP02,0,PASS,0.044,8944,15381,34.5,0,True,/pub/scratch/sdeheredia/Coyote/examples/full_dataset_it1/builds/STAND_FP02/build_hw/bitstreams/config_0/vfpga_c0_0.bin
STAND_FP02,1,PASS,0.044,8980,15381,34.5,0,True,/pub/scratch/sdeheredia/Coyote/examples/full_dataset_it1/builds/STAND_FP02/build_hw/bitstreams/config_1/vfpga_c1_0.bin
STAND_FP02,2,PASS,0.044,9124,15381,34.5,0,True,/pub/scratch/sdeheredia/Coyote/examples/full_dataset_it1/builds/STAND_FP02/build_hw/bitstreams/config_2/vfpga_c2_0.bin
STAND_FP02,3,PASS,0.044,9700,15381,34.5,0,True,/pub/scratch/sdeheredia/Coyote/examples/full_dataset_it1/builds/STAND_FP02/build_hw/bitstreams/config_3/vfpga_c3_0.bin
STAND_FP02,4,PASS,0.044,12004,15381,34.5,0,True,/pub/scratch/sdeheredia/Coyote/examples/full_dataset_it1/builds/STAND_FP02/build_hw/bitstreams/config_4/vfpga_c4_0.bin
STAND_FP02,5,PASS,0.044,21220,15381,34.5,0,True,/pub/scratch/sdeheredia/Coyote/examples/full_dataset_it1/builds/STAND_FP02/build_hw/bitstreams/config_5/vfpga_c5_0.bin
STAND_FP02,6,PASS,0.044,33508,15381,34.5,0,True,/pub/scratch/sdeheredia/Coyote/examples/full_dataset_it1/builds/STAND_FP02/build_hw/bitstreams/config_6/vfpga_c6_0.bin
STAND_FP02,7,PASS,0.044,38932,15381,34.5,0,True,/pub/scratch/sdeheredia/Coyote/examples/full_dataset_it1/builds/STAND_FP02/build_hw/bitstreams/config_7/vfpga_c7_0.bin
STAND_FP02,8,PASS,0.033,44896,15381,34.5,0,True,/pub/scratch/sdeheredia/Coyote/examples/full_dataset_it1/builds/STAND_FP02/build_hw/bitstreams/config_8/vfpga_c8_0.bin
STAND_FP02,9,PASS,0.044,50896,15381,34.5,0,True,/pub/scratch/sdeheredia/Coyote/examples/full_dataset_it1/builds/STAND_FP02/build_hw/bitstreams/config_9/vfpga_c9_0.bin
STAND_FP02,10,PASS,0.044,56896,15381,34.5,0,True,/pub/scratch/sdeheredia/Coyote/examples/full_dataset_it1/builds/STAND_FP02/build_hw/bitstreams/config_10/vfpga_c10_0.bin
STAND_FP02,11,PASS,0.044,62896,15381,34.5,0,True,/pub/scratch/sdeheredia/Coyote/examples/full_dataset_it1/builds/STAND_FP02/build_hw/bitstreams/config_11/vfpga_c11_0.bin
STAND_FP02,12,PASS,0.044,65896,15381,34.5,0,True,/pub/scratch/sdeheredia/Coyote/examples/full_dataset_it1/builds/STAND_FP02/build_hw/bitstreams/config_12/vfpga_c12_0.bin
STAND_FP02,13,PASS,0.044,68896,15381,34.5,0,True,/pub/scratch/sdeheredia/Coyote/examples/full_dataset_it1/builds/STAND_FP02/build_hw/bitstreams/config_13/vfpga_c13_0.bin
STAND_FP02,14,PASS,0.044,74896,15381,34.5,0,True,/pub/scratch/sdeheredia/Coyote/examples/full_dataset_it1/builds/STAND_FP02/build_hw/bitstreams/config_14/vfpga_c14_0.bin
STAND_FP03,0,PASS,0.044,8944,15381,34.5,0,True,/pub/scratch/sdeheredia/Coyote/examples/full_dataset_it1/builds/STAND_FP03/build_hw/bitstreams/config_0/vfpga_c0_0.bin
STAND_FP03,1,PASS,0.044,8980,15381,34.5,0,True,/pub/scratch/sdeheredia/Coyote/examples/full_dataset_it1/builds/STAND_FP03/build_hw/bitstreams/config_1/vfpga_c1_0.bin
STAND_FP03,2,PASS,0.044,9124,15381,34.5,0,True,/pub/scratch/sdeheredia/Coyote/examples/full_dataset_it1/builds/STAND_FP03/build_hw/bitstreams/config_2/vfpga_c2_0.bin
STAND_FP03,3,PASS,0.044,9700,15381,34.5,0,True,/pub/scratch/sdeheredia/Coyote/examples/full_dataset_it1/builds/STAND_FP03/build_hw/bitstreams/config_3/vfpga_c3_0.bin
STAND_FP03,4,PASS,0.044,12004,15381,34.5,0,True,/pub/scratch/sdeheredia/Coyote/examples/full_dataset_it1/builds/STAND_FP03/build_hw/bitstreams/config_4/vfpga_c4_0.bin
STAND_FP03,5,PASS,0.044,21220,15381,34.5,0,True,/pub/scratch/sdeheredia/Coyote/examples/full_dataset_it1/builds/STAND_FP03/build_hw/bitstreams/config_5/vfpga_c5_0.bin
STAND_FP03,6,PASS,0.044,33508,15381,34.5,0,True,/pub/scratch/sdeheredia/Coyote/examples/full_dataset_it1/builds/STAND_FP03/build_hw/bitstreams/config_6/vfpga_c6_0.bin
STAND_FP03,7,PASS,0.044,38932,15381,34.5,0,True,/pub/scratch/sdeheredia/Coyote/examples/full_dataset_it1/builds/STAND_FP03/build_hw/bitstreams/config_7/vfpga_c7_0.bin
STAND_FP03,8,PASS,0.044,44896,15381,34.5,0,True,/pub/scratch/sdeheredia/Coyote/examples/full_dataset_it1/builds/STAND_FP03/build_hw/bitstreams/config_8/vfpga_c8_0.bin
