sample_id,app_name,true_class,target_class,predicted_probability,expected_probability,probability_delta,predicted_label,expected_predicted_label,correct,split,checkpoint,target_layer,output_png
it2_B063,user_interrupts,benign,benign,0.402662,0.402662,1.518529e-08,0,0,True,fold_4,final,conv2,it2_B063_benign_gradcam.png
it2_B063,user_interrupts,benign,standalone,0.402662,0.402662,1.518529e-08,0,0,True,fold_4,final,conv2,it2_B063_standalone_gradcam.png
it2_S026,ro_19000,standalone,benign,0.587225,0.587225,9.046356e-08,1,1,True,fold_4,final,conv2,it2_S026_benign_gradcam.png
it2_S026,ro_19000,standalone,standalone,0.587225,0.587225,9.046356e-08,1,1,True,fold_4,final,conv2,it2_S026_standalone_gradcam.png
it2_B035,multithreading_aes,benign,benign,0.523122,0.523123,8.454764e-08,1,1,False,fold_4,final,conv2,it2_B035_benign_gradcam.png
it2_B035,multithreading_aes,benign,standalone,0.523122,0.523123,8.454764e-08,1,1,False,fold_4,final,conv2,it2_B035_standalone_gradcam.png
it1_S022,ro_10000,standalone,benign,0.466087,0.466088,3.267979e-08,0,0,False,fold_4,final,conv2,it1_S022_benign_gradcam.png
it1_S022,ro_10000,standalone,standalone,0.466087,0.466088,3.267979e-08,0,0,False,fold_4,final,conv2,it1_S022_standalone_gradcam.png
