experiment_name,phase,input_resolution,num_layers,conv_filters,final_feature_map_height,final_feature_map_width,final_channels,final_avg_pool,final_pool_area,final_pool_work,tier,weight_bits,activation_bits,pruning_target,reuse_factor,status,skip_reason,config_path
res256_layers3_W6A6_P0_RFbase,4,256,3,"[8, 16, 24]",16,16,24,"[16, 16]",256,6144,green,6,6,0,1,pending,,configs/hls4ml_experiment_global/res256_layers3_W6A6_P0_RFbase.yaml
res256_layers3_W8A8_P0_RFbase,4,256,3,"[8, 16, 24]",16,16,24,"[16, 16]",256,6144,green,8,8,0,1,pending,,configs/hls4ml_experiment_global/res256_layers3_W8A8_P0_RFbase.yaml
res256_layers3_WfloatAfloat_P0_RFbase,2,256,3,"[8, 16, 24]",16,16,24,"[16, 16]",256,6144,green,float,float,0,1,pending,,configs/hls4ml_experiment_global/res256_layers3_WfloatAfloat_P0_RFbase.yaml
res256_layers4_W2A2_P0_RFbase,4,256,4,"[8, 16, 24, 24]",8,8,24,"[8, 8]",64,1536,green,2,2,0,1,pending,,configs/hls4ml_experiment_global/res256_layers4_W2A2_P0_RFbase.yaml
res256_layers4_W3A3_P0_RFbase,4,256,4,"[8, 16, 24, 24]",8,8,24,"[8, 8]",64,1536,green,3,3,0,1,pending,,configs/hls4ml_experiment_global/res256_layers4_W3A3_P0_RFbase.yaml
res256_layers4_W4A4_P0_RFbase,4,256,4,"[8, 16, 24, 24]",8,8,24,"[8, 8]",64,1536,green,4,4,0,1,pending,,configs/hls4ml_experiment_global/res256_layers4_W4A4_P0_RFbase.yaml
res256_layers4_W6A6_P0_RFbase,4,256,4,"[8, 16, 24, 24]",8,8,24,"[8, 8]",64,1536,green,6,6,0,1,pending,,configs/hls4ml_experiment_global/res256_layers4_W6A6_P0_RFbase.yaml
res256_layers4_W8A8_P0_RFbase,4,256,4,"[8, 16, 24, 24]",8,8,24,"[8, 8]",64,1536,green,8,8,0,1,pending,,configs/hls4ml_experiment_global/res256_layers4_W8A8_P0_RFbase.yaml
res256_layers4_WfloatAfloat_P0_RFbase,2,256,4,"[8, 16, 24, 24]",8,8,24,"[8, 8]",64,1536,green,float,float,0,1,pending,,configs/hls4ml_experiment_global/res256_layers4_WfloatAfloat_P0_RFbase.yaml
res256_layers5_W2A2_P0_RFbase,4,256,5,"[8, 16, 24, 24, 32]",4,4,32,"[4, 4]",16,512,green,2,2,0,1,pending,,configs/hls4ml_experiment_global/res256_layers5_W2A2_P0_RFbase.yaml
res256_layers5_W3A3_P0_RFbase,4,256,5,"[8, 16, 24, 24, 32]",4,4,32,"[4, 4]",16,512,green,3,3,0,1,pending,,configs/hls4ml_experiment_global/res256_layers5_W3A3_P0_RFbase.yaml
res256_layers5_W4A4_P0_RFbase,4,256,5,"[8, 16, 24, 24, 32]",4,4,32,"[4, 4]",16,512,green,4,4,0,1,pending,,configs/hls4ml_experiment_global/res256_layers5_W4A4_P0_RFbase.yaml
res256_layers5_W6A6_P0_RFbase,4,256,5,"[8, 16, 24, 24, 32]",4,4,32,"[4, 4]",16,512,green,6,6,0,1,pending,,configs/hls4ml_experiment_global/res256_layers5_W6A6_P0_RFbase.yaml
res256_layers5_W8A8_P0_RFbase,4.5,256,5,"[8, 16, 24, 24, 32]",4,4,32,"[4, 4]",16,512,green,8,8,0,1,pending,,configs/hls4ml_experiment_global/res256_layers5_W8A8_P0_RFbase.yaml
res256_layers5_W8A8_P25_RFbase,4.5,256,5,"[8, 16, 24, 24, 32]",4,4,32,"[4, 4]",16,512,green,8,8,25,1,pending,,configs/hls4ml_experiment_global/res256_layers5_W8A8_P25_RFbase.yaml
res256_layers5_W8A8_P50_RFbase,4.5,256,5,"[8, 16, 24, 24, 32]",4,4,32,"[4, 4]",16,512,green,8,8,50,1,pending,,configs/hls4ml_experiment_global/res256_layers5_W8A8_P50_RFbase.yaml
res256_layers5_W8A8_P75_RFbase,4.5,256,5,"[8, 16, 24, 24, 32]",4,4,32,"[4, 4]",16,512,green,8,8,75,1,pending,,configs/hls4ml_experiment_global/res256_layers5_W8A8_P75_RFbase.yaml
res256_layers5_WfloatAfloat_P0_RFbase,2,256,5,"[8, 16, 24, 24, 32]",4,4,32,"[4, 4]",16,512,green,float,float,0,1,pending,,configs/hls4ml_experiment_global/res256_layers5_WfloatAfloat_P0_RFbase.yaml
res256_layers6_W2A2_P0_RFbase,4,256,6,"[8, 16, 24, 24, 32, 32]",2,2,32,"[2, 2]",4,128,green,2,2,0,1,pending,,configs/hls4ml_experiment_global/res256_layers6_W2A2_P0_RFbase.yaml
res256_layers6_W3A3_P0_RFbase,4,256,6,"[8, 16, 24, 24, 32, 32]",2,2,32,"[2, 2]",4,128,green,3,3,0,1,pending,,configs/hls4ml_experiment_global/res256_layers6_W3A3_P0_RFbase.yaml
res256_layers6_W4A4_P0_RFbase,4,256,6,"[8, 16, 24, 24, 32, 32]",2,2,32,"[2, 2]",4,128,green,4,4,0,1,pending,,configs/hls4ml_experiment_global/res256_layers6_W4A4_P0_RFbase.yaml
res256_layers6_W6A6_P0_RFbase,4,256,6,"[8, 16, 24, 24, 32, 32]",2,2,32,"[2, 2]",4,128,green,6,6,0,1,pending,,configs/hls4ml_experiment_global/res256_layers6_W6A6_P0_RFbase.yaml
res256_layers6_W8A8_P0_RFbase,4,256,6,"[8, 16, 24, 24, 32, 32]",2,2,32,"[2, 2]",4,128,green,8,8,0,1,pending,,configs/hls4ml_experiment_global/res256_layers6_W8A8_P0_RFbase.yaml
res256_layers6_W8A8_P50_RFResource1,5,256,6,"[8, 16, 24, 24, 32, 32]",2,2,32,"[2, 2]",4,128,green,8,8,50,1,pending,,configs/hls4ml_experiment_global/res256_layers6_W8A8_P50_RFResource1.yaml
res256_layers6_W8A8_P50_RFResource2,5,256,6,"[8, 16, 24, 24, 32, 32]",2,2,32,"[2, 2]",4,128,green,8,8,50,2,pending,,configs/hls4ml_experiment_global/res256_layers6_W8A8_P50_RFResource2.yaml
res256_layers6_W8A8_P50_RFResource4,5,256,6,"[8, 16, 24, 24, 32, 32]",2,2,32,"[2, 2]",4,128,green,8,8,50,4,pending,,configs/hls4ml_experiment_global/res256_layers6_W8A8_P50_RFResource4.yaml
res256_layers6_W8A8_P50_RFResource8,5,256,6,"[8, 16, 24, 24, 32, 32]",2,2,32,"[2, 2]",4,128,green,8,8,50,8,pending,,configs/hls4ml_experiment_global/res256_layers6_W8A8_P50_RFResource8.yaml
res256_layers6_W8A8_P50_RFbase,4.5,256,6,"[8, 16, 24, 24, 32, 32]",2,2,32,"[2, 2]",4,128,green,8,8,50,1,pending,,configs/hls4ml_experiment_global/res256_layers6_W8A8_P50_RFbase.yaml
res256_layers6_WfloatAfloat_P0_RFbase,2,256,6,"[8, 16, 24, 24, 32, 32]",2,2,32,"[2, 2]",4,128,green,float,float,0,1,pending,,configs/hls4ml_experiment_global/res256_layers6_WfloatAfloat_P0_RFbase.yaml
res256_layers7_W8A8_P0_RFbase,4,256,7,"[8, 16, 24, 24, 32, 32, 32]",1,1,32,"[1, 1]",1,32,green,8,8,0,1,pending,,configs/hls4ml_experiment_global/res256_layers7_W8A8_P0_RFbase.yaml
res256_layers7_W8A8_P50_RFResource1,5,256,7,"[8, 16, 24, 24, 32, 32, 32]",1,1,32,"[1, 1]",1,32,green,8,8,50,1,pending,,configs/hls4ml_experiment_global/res256_layers7_W8A8_P50_RFResource1.yaml
res256_layers7_W8A8_P50_RFResource2,5,256,7,"[8, 16, 24, 24, 32, 32, 32]",1,1,32,"[1, 1]",1,32,green,8,8,50,2,pending,,configs/hls4ml_experiment_global/res256_layers7_W8A8_P50_RFResource2.yaml
res256_layers7_W8A8_P50_RFResource4,5,256,7,"[8, 16, 24, 24, 32, 32, 32]",1,1,32,"[1, 1]",1,32,green,8,8,50,4,pending,,configs/hls4ml_experiment_global/res256_layers7_W8A8_P50_RFResource4.yaml
res256_layers7_W8A8_P50_RFResource8,5,256,7,"[8, 16, 24, 24, 32, 32, 32]",1,1,32,"[1, 1]",1,32,green,8,8,50,8,pending,,configs/hls4ml_experiment_global/res256_layers7_W8A8_P50_RFResource8.yaml
res256_layers7_W8A8_P50_RFbase,4.5,256,7,"[8, 16, 24, 24, 32, 32, 32]",1,1,32,"[1, 1]",1,32,green,8,8,50,1,pending,,configs/hls4ml_experiment_global/res256_layers7_W8A8_P50_RFbase.yaml
res256_layers7_WfloatAfloat_P0_RFbase,2,256,7,"[8, 16, 24, 24, 32, 32, 32]",1,1,32,"[1, 1]",1,32,green,float,float,0,1,pending,,configs/hls4ml_experiment_global/res256_layers7_WfloatAfloat_P0_RFbase.yaml
res512_layers2_WfloatAfloat_P0_RFbase,2,512,2,"[8, 16]",64,64,16,"[64, 64]",4096,65536,red,float,float,0,1,skipped_red,final_avg_pool > 32x32,configs/hls4ml_experiment_global/res512_layers2_WfloatAfloat_P0_RFbase.yaml
res512_layers3_WfloatAfloat_P0_RFbase_boundary,2,512,3,"[8, 16, 24]",32,32,24,"[32, 32]",1024,24576,yellow,float,float,0,1,pending,,configs/hls4ml_experiment_global/res512_layers3_WfloatAfloat_P0_RFbase_boundary.yaml
res512_layers4_W2A2_P0_RFbase,4,512,4,"[8, 16, 24, 24]",16,16,24,"[16, 16]",256,6144,green,2,2,0,1,pending,,configs/hls4ml_experiment_global/res512_layers4_W2A2_P0_RFbase.yaml
res512_layers4_W3A3_P0_RFbase,4,512,4,"[8, 16, 24, 24]",16,16,24,"[16, 16]",256,6144,green,3,3,0,1,pending,,configs/hls4ml_experiment_global/res512_layers4_W3A3_P0_RFbase.yaml
res512_layers4_W4A4_P0_RFbase,4,512,4,"[8, 16, 24, 24]",16,16,24,"[16, 16]",256,6144,green,4,4,0,1,pending,,configs/hls4ml_experiment_global/res512_layers4_W4A4_P0_RFbase.yaml
res512_layers4_W6A6_P0_RFbase,4,512,4,"[8, 16, 24, 24]",16,16,24,"[16, 16]",256,6144,green,6,6,0,1,pending,,configs/hls4ml_experiment_global/res512_layers4_W6A6_P0_RFbase.yaml
res512_layers4_W8A8_P0_RFbase,4.5,512,4,"[8, 16, 24, 24]",16,16,24,"[16, 16]",256,6144,green,8,8,0,1,pending,,configs/hls4ml_experiment_global/res512_layers4_W8A8_P0_RFbase.yaml
res512_layers4_W8A8_P25_RFbase,4.5,512,4,"[8, 16, 24, 24]",16,16,24,"[16, 16]",256,6144,green,8,8,25,1,pending,,configs/hls4ml_experiment_global/res512_layers4_W8A8_P25_RFbase.yaml
res512_layers4_W8A8_P50_RFbase,4.5,512,4,"[8, 16, 24, 24]",16,16,24,"[16, 16]",256,6144,green,8,8,50,1,pending,,configs/hls4ml_experiment_global/res512_layers4_W8A8_P50_RFbase.yaml
res512_layers4_W8A8_P75_RFbase,4.5,512,4,"[8, 16, 24, 24]",16,16,24,"[16, 16]",256,6144,green,8,8,75,1,pending,,configs/hls4ml_experiment_global/res512_layers4_W8A8_P75_RFbase.yaml
res512_layers4_WfloatAfloat_P0_RFbase,2,512,4,"[8, 16, 24, 24]",16,16,24,"[16, 16]",256,6144,green,float,float,0,1,pending,,configs/hls4ml_experiment_global/res512_layers4_WfloatAfloat_P0_RFbase.yaml
res512_layers5_W2A2_P0_RFbase,4,512,5,"[8, 16, 24, 24, 32]",8,8,32,"[8, 8]",64,2048,green,2,2,0,1,pending,,configs/hls4ml_experiment_global/res512_layers5_W2A2_P0_RFbase.yaml
res512_layers5_W3A3_P0_RFbase,4,512,5,"[8, 16, 24, 24, 32]",8,8,32,"[8, 8]",64,2048,green,3,3,0,1,pending,,configs/hls4ml_experiment_global/res512_layers5_W3A3_P0_RFbase.yaml
res512_layers5_W4A4_P0_RFbase,4,512,5,"[8, 16, 24, 24, 32]",8,8,32,"[8, 8]",64,2048,green,4,4,0,1,pending,,configs/hls4ml_experiment_global/res512_layers5_W4A4_P0_RFbase.yaml
res512_layers5_W6A6_P0_RFbase,4,512,5,"[8, 16, 24, 24, 32]",8,8,32,"[8, 8]",64,2048,green,6,6,0,1,pending,,configs/hls4ml_experiment_global/res512_layers5_W6A6_P0_RFbase.yaml
res512_layers5_W6A6_P25_RFbase,4.5,512,5,"[8, 16, 24, 24, 32]",8,8,32,"[8, 8]",64,2048,green,6,6,25,1,pending,,configs/hls4ml_experiment_global/res512_layers5_W6A6_P25_RFbase.yaml
res512_layers5_W6A6_P50_RFbase,4.5,512,5,"[8, 16, 24, 24, 32]",8,8,32,"[8, 8]",64,2048,green,6,6,50,1,pending,,configs/hls4ml_experiment_global/res512_layers5_W6A6_P50_RFbase.yaml
res512_layers5_W6A6_P75_RFbase,4.5,512,5,"[8, 16, 24, 24, 32]",8,8,32,"[8, 8]",64,2048,green,6,6,75,1,pending,,configs/hls4ml_experiment_global/res512_layers5_W6A6_P75_RFbase.yaml
res512_layers5_W8A8_P0_RFbase,4,512,5,"[8, 16, 24, 24, 32]",8,8,32,"[8, 8]",64,2048,green,8,8,0,1,pending,,configs/hls4ml_experiment_global/res512_layers5_W8A8_P0_RFbase.yaml
res512_layers5_W8A8_P25_RFbase,4.5,512,5,"[8, 16, 24, 24, 32]",8,8,32,"[8, 8]",64,2048,green,8,8,25,1,pending,,configs/hls4ml_experiment_global/res512_layers5_W8A8_P25_RFbase.yaml
res512_layers5_W8A8_P50_RFbase,4.5,512,5,"[8, 16, 24, 24, 32]",8,8,32,"[8, 8]",64,2048,green,8,8,50,1,pending,,configs/hls4ml_experiment_global/res512_layers5_W8A8_P50_RFbase.yaml
res512_layers5_W8A8_P75_RFbase,4.5,512,5,"[8, 16, 24, 24, 32]",8,8,32,"[8, 8]",64,2048,green,8,8,75,1,pending,,configs/hls4ml_experiment_global/res512_layers5_W8A8_P75_RFbase.yaml
res512_layers5_WfloatAfloat_P0_RFbase,1,512,5,"[8, 16, 24, 24, 32]",8,8,32,"[8, 8]",64,2048,green,float,float,0,1,pending,,configs/hls4ml_experiment_global/res512_layers5_WfloatAfloat_P0_RFbase.yaml
res512_layers6_W4A4_P0_RFbase,4,512,6,"[8, 16, 24, 24, 32, 32]",4,4,32,"[4, 4]",16,512,green,4,4,0,1,pending,,configs/hls4ml_experiment_global/res512_layers6_W4A4_P0_RFbase.yaml
