experiment_name,phase,status,tier,input_resolution,num_layers,conv_filters,final_feature_map_shape,final_avg_pool,final_pool_area,final_pool_work,weight_bits,activation_bits,pruning_target,actual_global_sparsity,actual_sparsity_per_layer,nonzero_parameter_count,reuse_factor,software_accuracy,software_auc,software_pr_auc,software_precision,software_recall,software_f1,false_positive_rate,false_negative_rate,confusion_matrix,keras_hls4ml_prediction_agreement,changed_predictions,mean_output_difference,max_output_difference,hls4ml_conversion_status,hls4ml_csim_status,synthesis_status,LUT,FF,BRAM,DSP,latency,clock_period,failure_stage,failure_reason,run_root,hls_sweep_root,config_path
res512_layers6_W8A8_P0_RFbase,4,success,green,512,6,"[8, 16, 24, 24, 32, 32]",4x4x32,"[4, 4]",16,512,8,8,0,0.0,"{""conv0"": 0.0, ""conv1"": 0.0, ""conv2"": 0.0, ""conv3"": 0.0, ""conv4"": 0.0, ""conv5"": 0.0, ""output_dense"": 0.0}",26152,1,0.957983193277311,0.9880658145611185,0.9863640509854793,0.9658119658119658,0.9495798319327731,0.9576271186440678,0.03361344537815126,0.05042016806722689,"[[115, 4], [6, 113]]",1.0,0,0.07883834838867188,0.1944580078125,success,success,success,863948,189441,238,1235,1065431,5.00 ns,,,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_expand_sweep/cnn_small_hls_opt_img512/notebook_qat/res512_layers6_W8A8_P0_RFbase_4df68b67f379,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_expand_sweep/cnn_small_hls_opt_img512/notebook_qat/res512_layers6_W8A8_P0_RFbase_4df68b67f379/hls_sweeps/RFbase_hls_3860cac702dd,configs/hls4ml_expand_sweep/res512_layers6_W8A8_P0_RFbase.yaml
res512_layers6_W8A8_P25_RFbase,4.5,not_run,green,512,6,"[8, 16, 24, 24, 32, 32]",4x4x32,"[4, 4]",16,512,8,8,25,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_expand_sweep/cnn_small_hls_opt_img512/notebook_pruned_qat/res512_layers6_W8A8_P25_RFbase_8b21dc5163df,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_expand_sweep/cnn_small_hls_opt_img512/notebook_pruned_qat/res512_layers6_W8A8_P25_RFbase_8b21dc5163df/hls_sweeps/RFbase_hls_6201e209bb2b,configs/hls4ml_expand_sweep/res512_layers6_W8A8_P25_RFbase.yaml
res512_layers6_W8A8_P50_RFbase,4.5,not_run,green,512,6,"[8, 16, 24, 24, 32, 32]",4x4x32,"[4, 4]",16,512,8,8,50,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_expand_sweep/cnn_small_hls_opt_img512/notebook_pruned_qat/res512_layers6_W8A8_P50_RFbase_403c2137d357,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_expand_sweep/cnn_small_hls_opt_img512/notebook_pruned_qat/res512_layers6_W8A8_P50_RFbase_403c2137d357/hls_sweeps/RFbase_hls_5fe98b198921,configs/hls4ml_expand_sweep/res512_layers6_W8A8_P50_RFbase.yaml
res512_layers6_W8A8_P75_RFbase,4.5,not_run,green,512,6,"[8, 16, 24, 24, 32, 32]",4x4x32,"[4, 4]",16,512,8,8,75,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_expand_sweep/cnn_small_hls_opt_img512/notebook_pruned_qat/res512_layers6_W8A8_P75_RFbase_16ecffc5555d,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_expand_sweep/cnn_small_hls_opt_img512/notebook_pruned_qat/res512_layers6_W8A8_P75_RFbase_16ecffc5555d/hls_sweeps/RFbase_hls_b3e469e3b281,configs/hls4ml_expand_sweep/res512_layers6_W8A8_P75_RFbase.yaml
res512_layers6_WfloatAfloat_P0_RFbase,2,not_run,green,512,6,"[8, 16, 24, 24, 32, 32]",4x4x32,"[4, 4]",16,512,float,float,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_expand_sweep/cnn_small_hls_opt_img512/notebook_float/res512_layers6_WfloatAfloat_P0_RFbase_2cb3ecf1bcac,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_expand_sweep/cnn_small_hls_opt_img512/notebook_float/res512_layers6_WfloatAfloat_P0_RFbase_2cb3ecf1bcac/hls_sweeps/RFbase_hls_de3db0f73bb1,configs/hls4ml_expand_sweep/res512_layers6_WfloatAfloat_P0_RFbase.yaml
res512_layers7_W4A4_P0_RFbase,4,success,green,512,7,"[8, 16, 24, 24, 32, 32, 32]",2x2x32,"[2, 2]",4,128,4,4,0,0.0,"{""conv0"": 0.0, ""conv1"": 0.0, ""conv2"": 0.0, ""conv3"": 0.0, ""conv4"": 0.0, ""conv5"": 0.0, ""conv6"": 0.0, ""output_dense"": 0.0}",35368,1,0.9117647058823529,0.9764140950497846,0.9785093434185047,0.9152542372881356,0.907563025210084,0.9113924050632911,0.08403361344537816,0.09243697478991597,"[[109, 10], [11, 108]]",0.9375,3,0.1962890625,0.484375,success,success,success,327347,88936,146,0,799176,5.00 ns,,,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_expand_sweep/cnn_small_hls_opt_img512/notebook_qat/res512_layers7_W4A4_P0_RFbase_0c370c5ddd51,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_expand_sweep/cnn_small_hls_opt_img512/notebook_qat/res512_layers7_W4A4_P0_RFbase_0c370c5ddd51/hls_sweeps/RFbase_hls_405623859b62,configs/hls4ml_expand_sweep/res512_layers7_W4A4_P0_RFbase.yaml
res512_layers7_W6A6_P0_RFbase,4,success,green,512,7,"[8, 16, 24, 24, 32, 32, 32]",2x2x32,"[2, 2]",4,128,6,6,0,0.0,"{""conv0"": 0.0, ""conv1"": 0.0, ""conv2"": 0.0, ""conv3"": 0.0, ""conv4"": 0.0, ""conv5"": 0.0, ""conv6"": 0.0, ""output_dense"": 0.0}",35368,1,0.9537815126050421,0.9913847892098016,0.9875004667066986,0.9736842105263158,0.9327731092436975,0.9527896995708155,0.025210084033613446,0.06722689075630252,"[[116, 3], [8, 111]]",0.9583333333333334,2,0.2171223908662796,0.72265625,success,success,success,673041,130946,218,7,799176,5.00 ns,,,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_expand_sweep/cnn_small_hls_opt_img512/notebook_qat/res512_layers7_W6A6_P0_RFbase_ed8431972745,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_expand_sweep/cnn_small_hls_opt_img512/notebook_qat/res512_layers7_W6A6_P0_RFbase_ed8431972745/hls_sweeps/RFbase_hls_85fe02fa4f4d,configs/hls4ml_expand_sweep/res512_layers7_W6A6_P0_RFbase.yaml
res512_layers7_W6A6_P25_RFbase,4.5,not_run,green,512,7,"[8, 16, 24, 24, 32, 32, 32]",2x2x32,"[2, 2]",4,128,6,6,25,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_expand_sweep/cnn_small_hls_opt_img512/notebook_pruned_qat/res512_layers7_W6A6_P25_RFbase_443ea8b013bf,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_expand_sweep/cnn_small_hls_opt_img512/notebook_pruned_qat/res512_layers7_W6A6_P25_RFbase_443ea8b013bf/hls_sweeps/RFbase_hls_3cae42caeea2,configs/hls4ml_expand_sweep/res512_layers7_W6A6_P25_RFbase.yaml
res512_layers7_W6A6_P50_RFbase,4.5,not_run,green,512,7,"[8, 16, 24, 24, 32, 32, 32]",2x2x32,"[2, 2]",4,128,6,6,50,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_expand_sweep/cnn_small_hls_opt_img512/notebook_pruned_qat/res512_layers7_W6A6_P50_RFbase_192b4ea17970,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_expand_sweep/cnn_small_hls_opt_img512/notebook_pruned_qat/res512_layers7_W6A6_P50_RFbase_192b4ea17970/hls_sweeps/RFbase_hls_394a0176c346,configs/hls4ml_expand_sweep/res512_layers7_W6A6_P50_RFbase.yaml
res512_layers7_W6A6_P75_RFbase,4.5,not_run,green,512,7,"[8, 16, 24, 24, 32, 32, 32]",2x2x32,"[2, 2]",4,128,6,6,75,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_expand_sweep/cnn_small_hls_opt_img512/notebook_pruned_qat/res512_layers7_W6A6_P75_RFbase_a297e0b3fa94,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_expand_sweep/cnn_small_hls_opt_img512/notebook_pruned_qat/res512_layers7_W6A6_P75_RFbase_a297e0b3fa94/hls_sweeps/RFbase_hls_31677dbf8202,configs/hls4ml_expand_sweep/res512_layers7_W6A6_P75_RFbase.yaml
