epoch,train_loss,val_bce_loss,val_log_loss,val_benign_log_loss,val_standalone_log_loss,val_brier_score,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_roc_auc,val_pr_auc,val_f1,val_mcc,val_ece,val_benign_mean_score,val_standalone_mean_score,val_optimal_threshold,val_optimal_accuracy,val_optimal_f1,aug_val_bce_loss,aug_val_log_loss,aug_val_benign_log_loss,aug_val_standalone_log_loss,aug_val_brier_score,aug_val_accuracy,aug_val_balanced_accuracy,aug_val_precision,aug_val_recall,aug_val_roc_auc,aug_val_pr_auc,aug_val_f1,aug_val_mcc,aug_val_ece,aug_val_benign_mean_score,aug_val_standalone_mean_score,aug_val_optimal_threshold,aug_val_optimal_accuracy,aug_val_optimal_f1
15,0.693554,0.692846,0.692846,0.686459,0.699233,0.249850,0.500000,0.500000,0.000000,0.000000,0.942708,0.950524,0.000000,0.000000,0.003194,0.496645,0.496966,0.496814,0.875000,0.863636,0.692864,0.692864,0.686563,0.699164,0.249858,0.500000,0.500000,0.000000,0.000000,0.902778,0.918267,0.000000,0.000000,0.003151,0.496697,0.497001,0.496967,0.833333,0.800000
16,0.692927,0.692768,0.692768,0.690151,0.695386,0.249811,0.500000,0.500000,0.000000,0.000000,0.920139,0.931730,0.000000,0.000000,0.001309,0.498499,0.498882,0.498732,0.854167,0.837209,0.692789,0.692789,0.690253,0.695324,0.249821,0.500000,0.500000,0.000000,0.000000,0.894097,0.913445,0.000000,0.000000,0.001268,0.498551,0.498913,0.498849,0.833333,0.800000
17,0.692837,0.692672,0.692672,0.701522,0.683822,0.249762,0.500000,0.500000,0.500000,1.000000,0.906250,0.923738,0.666667,0.000000,0.004427,0.504170,0.504685,0.504496,0.854167,0.837209,0.692702,0.692702,0.701656,0.683749,0.249778,0.500000,0.500000,0.500000,1.000000,0.890625,0.907875,0.666667,0.000000,0.004479,0.504236,0.504721,0.504684,0.812500,0.769231
18,0.693345,0.692711,0.692711,0.693210,0.692212,0.249782,0.708333,0.708333,0.638889,0.958333,0.921875,0.932784,0.766667,0.481125,0.208019,0.500032,0.500468,0.500304,0.854167,0.837209,0.692742,0.692742,0.693356,0.692128,0.249797,0.708333,0.708333,0.631579,1.000000,0.897569,0.914577,0.774194,0.512989,0.207984,0.500104,0.500510,0.500453,0.833333,0.800000
19,0.692856,0.692666,0.692666,0.692150,0.693183,0.249760,0.750000,0.750000,1.000000,0.500000,0.918403,0.930764,0.666667,0.577350,0.249642,0.499501,0.499982,0.499796,0.854167,0.837209,0.692712,0.692712,0.692371,0.693053,0.249782,0.791667,0.791667,0.937500,0.625000,0.885417,0.904585,0.750000,0.618718,0.291360,0.499611,0.500047,0.500011,0.812500,0.769231
20,0.692709,0.692578,0.692578,0.692467,0.692690,0.249716,0.854167,0.854167,0.947368,0.750000,0.918403,0.931343,0.837209,0.724224,0.353831,0.499660,0.500229,0.500008,0.854167,0.837209,0.692633,0.692633,0.692736,0.692530,0.249743,0.770833,0.770833,0.760000,0.791667,0.883681,0.902407,0.775510,0.542137,0.270501,0.499794,0.500309,0.500266,0.812500,0.769231
21,0.693400,0.692534,0.692534,0.710029,0.675040,0.249694,0.500000,0.500000,0.500000,1.000000,0.906250,0.925095,0.666667,0.000000,0.008753,0.508370,0.509136,0.508868,0.854167,0.837209,0.692596,0.692596,0.710266,0.674927,0.249725,0.500000,0.500000,0.500000,1.000000,0.880208,0.899160,0.666667,0.000000,0.008840,0.508486,0.509194,0.509131,0.812500,0.769231
22,0.693387,0.692518,0.692518,0.707876,0.677160,0.249685,0.500000,0.500000,0.500000,1.000000,0.907986,0.926342,0.666667,0.000000,0.007684,0.507310,0.508058,0.507790,0.854167,0.837209,0.692589,0.692589,0.708152,0.677026,0.249721,0.500000,0.500000,0.500000,1.000000,0.881944,0.900598,0.666667,0.000000,0.007786,0.507446,0.508126,0.508055,0.812500,0.769231
23,0.692448,0.692578,0.692578,0.688193,0.696963,0.249715,0.500000,0.500000,0.000000,0.000000,0.947917,0.955642,0.000000,0.000000,0.002194,0.497517,0.498096,0.497807,0.916667,0.913043,0.692623,0.692623,0.688441,0.696804,0.249738,0.500000,0.500000,0.000000,0.000000,0.911458,0.924814,0.000000,0.000000,0.002092,0.497642,0.498175,0.498073,0.833333,0.809524
24,0.693233,0.692555,0.692555,0.686290,0.698821,0.249704,0.500000,0.500000,0.000000,0.000000,0.953125,0.959340,0.000000,0.000000,0.003135,0.496560,0.497171,0.496861,0.916667,0.913043,0.692599,0.692599,0.686532,0.698666,0.249726,0.500000,0.500000,0.000000,0.000000,0.914931,0.928258,0.000000,0.000000,0.003035,0.496681,0.497248,0.497165,0.854167,0.829268
25,0.692611,0.692406,0.692406,0.694357,0.690455,0.249629,0.500000,0.500000,0.500000,1.000000,0.911458,0.926558,0.666667,0.000000,0.000976,0.500605,0.501348,0.501064,0.854167,0.837209,0.692485,0.692485,0.694702,0.690267,0.249669,0.500000,0.500000,0.500000,1.000000,0.881944,0.899803,0.666667,0.000000,0.001110,0.500777,0.501442,0.501427,0.791667,0.736842
26,0.692520,0.692264,0.692264,0.694076,0.690453,0.249559,0.541667,0.541667,0.521739,1.000000,0.923611,0.936287,0.685714,0.208514,0.040751,0.500464,0.501349,0.500906,0.875000,0.863636,0.692343,0.692343,0.694379,0.690307,0.249598,0.520833,0.520833,0.510638,1.000000,0.897569,0.914629,0.676056,0.145865,0.019813,0.500615,0.501422,0.501322,0.833333,0.800000
27,0.692347,0.692125,0.692125,0.694881,0.689370,0.249489,0.500000,0.500000,0.500000,1.000000,0.927083,0.938327,0.666667,0.000000,0.001379,0.500866,0.501893,0.501409,0.875000,0.863636,0.692231,0.692231,0.695297,0.689164,0.249542,0.500000,0.500000,0.500000,1.000000,0.901042,0.915690,0.666667,0.000000,0.001535,0.501074,0.501996,0.501897,0.833333,0.800000
28,0.692662,0.692003,0.692003,0.692283,0.691724,0.249428,0.854167,0.854167,0.840000,0.875000,0.946181,0.955961,0.857143,0.708949,0.353534,0.499567,0.500712,0.500069,0.916667,0.913043,0.692113,0.692113,0.692720,0.691507,0.249483,0.812500,0.812500,0.758621,0.916667,0.907986,0.920428,0.830189,0.639021,0.311842,0.499786,0.500821,0.500678,0.833333,0.800000
29,0.692850,0.692205,0.692205,0.721605,0.662804,0.249529,0.500000,0.500000,0.500000,1.000000,0.892361,0.910832,0.666667,0.000000,0.014716,0.514028,0.515405,0.514938,0.833333,0.818182,0.692377,0.692377,0.722255,0.662499,0.249615,0.500000,0.500000,0.500000,1.000000,0.848958,0.869277,0.666667,0.000000,0.014953,0.514343,0.515562,0.515611,0.770833,0.702703
30,0.692328,0.692035,0.692035,0.683407,0.700663,0.249444,0.500000,0.500000,0.000000,0.000000,0.967014,0.970657,0.000000,0.000000,0.004319,0.495106,0.496257,0.495620,0.937500,0.936170,0.692099,0.692099,0.683713,0.700486,0.249476,0.500000,0.500000,0.000000,0.000000,0.935764,0.942251,0.000000,0.000000,0.004198,0.495260,0.496344,0.496128,0.854167,0.829268
31,0.692942,0.691864,0.691864,0.712788,0.670940,0.249359,0.500000,0.500000,0.500000,1.000000,0.904514,0.922768,0.666667,0.000000,0.010476,0.509724,0.511228,0.510743,0.854167,0.837209,0.692019,0.692019,0.713408,0.670631,0.249436,0.500000,0.500000,0.500000,1.000000,0.866319,0.882082,0.666667,0.000000,0.010707,0.510028,0.511387,0.509935,0.770833,0.813559
32,0.692323,0.691671,0.691671,0.701135,0.682207,0.249262,0.500000,0.500000,0.500000,1.000000,0.927083,0.939585,0.666667,0.000000,0.004739,0.503978,0.505501,0.504862,0.875000,0.863636,0.691791,0.691791,0.701594,0.681988,0.249322,0.500000,0.500000,0.500000,1.000000,0.897569,0.913884,0.666667,0.000000,0.004908,0.504205,0.505612,0.505420,0.833333,0.800000
33,0.693049,0.692039,0.692039,0.672212,0.711865,0.249446,0.500000,0.500000,0.000000,0.000000,0.987847,0.986631,0.000000,0.000000,0.009925,0.489422,0.490728,0.489869,0.979167,0.979592,0.692059,0.692059,0.672247,0.711870,0.249456,0.500000,0.500000,0.000000,0.000000,0.979167,0.978936,0.000000,0.000000,0.009917,0.489440,0.490726,0.489868,0.937500,0.941176
34,0.692452,0.691485,0.691485,0.697782,0.685188,0.249169,0.500000,0.500000,0.500000,1.000000,0.949653,0.958093,0.666667,0.000000,0.003154,0.502312,0.503996,0.503000,0.916667,0.913043,0.691586,0.691586,0.698124,0.685049,0.249220,0.500000,0.500000,0.500000,1.000000,0.921875,0.933076,0.666667,0.000000,0.003274,0.502482,0.504066,0.503770,0.854167,0.829268
35,0.691830,0.691156,0.691156,0.701736,0.680576,0.249004,0.500000,0.500000,0.500000,1.000000,0.949653,0.958093,0.666667,0.000000,0.005301,0.504276,0.506326,0.505120,0.916667,0.913043,0.691273,0.691273,0.702093,0.680454,0.249063,0.500000,0.500000,0.500000,1.000000,0.923611,0.935327,0.666667,0.000000,0.005420,0.504452,0.506388,0.506066,0.854167,0.829268
36,0.692499,0.691093,0.691093,0.697783,0.684402,0.248973,0.500000,0.500000,0.500000,1.000000,0.963542,0.968451,0.666667,0.000000,0.003352,0.502312,0.504393,0.503078,0.937500,0.936170,0.691205,0.691205,0.698155,0.684255,0.249029,0.500000,0.500000,0.500000,1.000000,0.934028,0.942870,0.666667,0.000000,0.003482,0.502497,0.504467,0.504075,0.854167,0.829268
37,0.691340,0.690740,0.690740,0.700582,0.680898,0.248797,0.500000,0.500000,0.500000,1.000000,0.963542,0.968451,0.666667,0.000000,0.004933,0.503703,0.506163,0.504604,0.937500,0.936170,0.690858,0.690858,0.700903,0.680812,0.248855,0.500000,0.500000,0.500000,1.000000,0.928819,0.938479,0.666667,0.000000,0.005034,0.503862,0.506207,0.505469,0.854167,0.837209
38,0.691685,0.690298,0.690298,0.691059,0.689538,0.248576,0.916667,0.916667,0.916667,0.916667,0.979167,0.979517,0.916667,0.833333,0.415167,0.498954,0.501809,0.500246,0.937500,0.936170,0.690405,0.690405,0.691294,0.689516,0.248629,0.854167,0.854167,0.814815,0.916667,0.958333,0.961758,0.862745,0.713933,0.352680,0.499071,0.501821,0.500246,0.895833,0.893617
39,0.692156,0.690297,0.690297,0.720570,0.660024,0.248576,0.500000,0.500000,0.500000,1.000000,0.942708,0.951226,0.666667,0.000000,0.015182,0.513523,0.516842,0.515104,0.895833,0.888889,0.690485,0.690485,0.720976,0.659993,0.248670,0.500000,0.500000,0.500000,1.000000,0.911458,0.926208,0.666667,0.000000,0.015289,0.513721,0.516858,0.516148,0.833333,0.809524
40,0.690508,0.690158,0.690158,0.678207,0.702110,0.248506,0.500000,0.500000,0.000000,0.000000,0.986111,0.985689,0.000000,0.000000,0.005993,0.492473,0.495540,0.493477,0.958333,0.960000,0.690239,0.690239,0.678254,0.702224,0.248546,0.500000,0.500000,0.000000,0.000000,0.970486,0.972792,0.000000,0.000000,0.006010,0.492496,0.495484,0.493784,0.916667,0.913043
41,0.691581,0.689458,0.689458,0.690359,0.688558,0.248156,0.916667,0.916667,0.916667,0.916667,0.982639,0.982071,0.916667,0.833333,0.414734,0.498602,0.502302,0.500224,0.937500,0.936170,0.689560,0.689560,0.690384,0.688735,0.248206,0.895833,0.895833,0.913043,0.875000,0.960069,0.964669,0.893617,0.792355,0.393931,0.498615,0.502214,0.500336,0.895833,0.888889
42,0.690629,0.689490,0.689490,0.727375,0.651604,0.248174,0.500000,0.500000,0.500000,1.000000,0.947917,0.955125,0.666667,0.000000,0.019018,0.516822,0.521213,0.518998,0.895833,0.888889,0.689680,0.689680,0.727589,0.651772,0.248269,0.500000,0.500000,0.500000,1.000000,0.916667,0.931929,0.666667,0.000000,0.019025,0.516924,0.521127,0.520003,0.833333,0.809524
43,0.692039,0.689266,0.689266,0.676759,0.701772,0.248060,0.500000,0.500000,0.000000,0.000000,0.986111,0.985689,0.000000,0.000000,0.006277,0.491737,0.495708,0.493034,0.958333,0.960000,0.689388,0.689388,0.676944,0.701833,0.248121,0.500000,0.500000,0.000000,0.000000,0.972222,0.973867,0.000000,0.000000,0.006245,0.491830,0.495679,0.493485,0.916667,0.913043
44,0.688618,0.688737,0.688737,0.723148,0.654325,0.247798,0.500000,0.500000,0.500000,1.000000,0.960069,0.965263,0.666667,0.000000,0.017286,0.514775,0.519798,0.516977,0.916667,0.913043,0.688978,0.688978,0.723552,0.654404,0.247918,0.500000,0.500000,0.500000,1.000000,0.930556,0.941415,0.666667,0.000000,0.017363,0.514969,0.519757,0.518341,0.854167,0.837209
45,0.689121,0.688208,0.688208,0.734624,0.641791,0.247536,0.500000,0.500000,0.500000,1.000000,0.961806,0.966791,0.666667,0.000000,0.023333,0.520310,0.526356,0.523009,0.916667,0.913043,0.688411,0.688411,0.734790,0.642033,0.247638,0.500000,0.500000,0.500000,1.000000,0.928819,0.940784,0.666667,0.000000,0.023309,0.520387,0.526230,0.524403,0.854167,0.837209
46,0.690097,0.687308,0.687308,0.725993,0.648624,0.247085,0.500000,0.500000,0.500000,1.000000,0.970486,0.973022,0.666667,0.000000,0.019462,0.516151,0.522773,0.518936,0.937500,0.936170,0.687498,0.687498,0.726052,0.648944,0.247180,0.500000,0.500000,0.500000,1.000000,0.942708,0.951448,0.666667,0.000000,0.019392,0.516177,0.522607,0.519215,0.875000,0.869565
47,0.690607,0.686793,0.686793,0.722527,0.651059,0.246828,0.500000,0.500000,0.500000,1.000000,0.975694,0.977292,0.666667,0.000000,0.017986,0.514471,0.521501,0.517638,0.937500,0.936170,0.686940,0.686940,0.722335,0.651544,0.246901,0.500000,0.500000,0.500000,1.000000,0.947917,0.956376,0.666667,0.000000,0.017813,0.514375,0.521250,0.517638,0.895833,0.893617
48,0.694807,0.687320,0.687320,0.685786,0.688855,0.247087,0.854167,0.854167,0.947368,0.750000,0.984375,0.984028,0.837209,0.724224,0.350939,0.496302,0.502156,0.498190,0.958333,0.960000,0.687476,0.687476,0.685797,0.689155,0.247165,0.833333,0.833333,0.944444,0.708333,0.965278,0.969309,0.809524,0.688530,0.330115,0.496307,0.502006,0.498872,0.916667,0.913043
49,0.689791,0.686647,0.686647,0.704616,0.668677,0.246751,0.500000,0.500000,0.500000,1.000000,0.984375,0.983496,0.666667,0.000000,0.009045,0.505697,0.512393,0.507621,0.958333,0.960000,0.686840,0.686840,0.704647,0.669033,0.246848,0.520833,0.520833,0.510638,1.000000,0.960069,0.966167,0.676056,0.145865,0.011866,0.505710,0.512212,0.508859,0.916667,0.913043
50,0.692757,0.687007,0.687007,0.729420,0.644594,0.246936,0.500000,0.500000,0.500000,1.000000,0.980903,0.980748,0.666667,0.000000,0.021345,0.517806,0.524884,0.520994,0.937500,0.936170,0.687127,0.687127,0.729011,0.645244,0.246996,0.500000,0.500000,0.500000,1.000000,0.951389,0.961453,0.666667,0.000000,0.021075,0.517606,0.524545,0.520994,0.916667,0.913043
51,0.690236,0.686663,0.686663,0.682355,0.690971,0.246758,0.854167,0.854167,1.000000,0.708333,0.984375,0.984687,0.829268,0.740532,0.350247,0.494570,0.501096,0.496937,0.937500,0.938776,0.686826,0.686826,0.682423,0.691229,0.246840,0.833333,0.833333,1.000000,0.666667,0.972222,0.974260,0.800000,0.707107,0.329392,0.494603,0.500967,0.497326,0.937500,0.936170
52,0.692704,0.688629,0.688629,0.768913,0.608344,0.247761,0.500000,0.500000,0.500000,1.000000,0.956597,0.961401,0.666667,0.000000,0.040369,0.536475,0.544263,0.539822,0.916667,0.913043,0.688890,0.688890,0.768825,0.608954,0.247891,0.500000,0.500000,0.500000,1.000000,0.921875,0.938547,0.666667,0.000000,0.040183,0.536431,0.543935,0.541793,0.854167,0.829268
53,0.695973,0.693943,0.693943,0.628704,0.759182,0.250398,0.500000,0.500000,0.000000,0.000000,0.946181,0.952403,0.000000,0.000000,0.032617,0.466717,0.468049,0.467420,0.895833,0.893617,0.693909,0.693909,0.628852,0.758966,0.250382,0.500000,0.500000,0.000000,0.000000,0.939236,0.942826,0.000000,0.000000,0.032526,0.466796,0.468151,0.467664,0.854167,0.837209
54,0.691906,0.688870,0.688870,0.659410,0.718330,0.247863,0.500000,0.500000,0.000000,0.000000,0.963542,0.966864,0.000000,0.000000,0.014795,0.482841,0.487569,0.486632,0.895833,0.883721,0.688976,0.688976,0.659666,0.718286,0.247916,0.500000,0.500000,0.000000,0.000000,0.965278,0.968057,0.000000,0.000000,0.014718,0.482973,0.487591,0.484691,0.916667,0.920000
55,0.689313,0.687670,0.687670,0.729969,0.645372,0.247267,0.500000,0.500000,0.500000,1.000000,0.979167,0.979088,0.666667,0.000000,0.021273,0.518071,0.524474,0.520345,0.937500,0.938776,0.687884,0.687884,0.730013,0.645754,0.247374,0.500000,0.500000,0.500000,1.000000,0.946181,0.954357,0.666667,0.000000,0.021183,0.518091,0.524276,0.521402,0.875000,0.863636
56,0.687253,0.686403,0.686403,0.693085,0.679722,0.246628,0.687500,0.687500,0.615385,1.000000,0.984375,0.984028,0.761905,0.480384,0.183201,0.499964,0.506765,0.502133,0.958333,0.960000,0.686552,0.686552,0.692989,0.680115,0.246703,0.708333,0.708333,0.631579,1.000000,0.970486,0.973977,0.774194,0.512989,0.203994,0.499914,0.506567,0.503032,0.916667,0.913043
57,0.687848,0.686563,0.686563,0.665079,0.708048,0.246710,0.500000,0.500000,0.000000,0.000000,0.967014,0.970433,0.000000,0.000000,0.010813,0.485761,0.492612,0.489210,0.895833,0.888889,0.686688,0.686688,0.665147,0.708229,0.246772,0.500000,0.500000,0.000000,0.000000,0.970486,0.972803,0.000000,0.000000,0.010841,0.485795,0.492524,0.489210,0.895833,0.888889
58,0.684909,0.685710,0.685710,0.745630,0.625789,0.246297,0.500000,0.500000,0.500000,1.000000,0.982639,0.982071,0.666667,0.000000,0.030204,0.525555,0.534853,0.529870,0.937500,0.936170,0.685810,0.685810,0.744883,0.626737,0.246346,0.500000,0.500000,0.500000,1.000000,0.947917,0.957920,0.666667,0.000000,0.029772,0.525195,0.534350,0.529870,0.895833,0.893617
59,0.688400,0.685467,0.685467,0.658112,0.712822,0.246163,0.500000,0.500000,0.000000,0.000000,0.963542,0.967361,0.000000,0.000000,0.013784,0.482163,0.490269,0.488385,0.895833,0.883721,0.685572,0.685572,0.658130,0.713014,0.246216,0.500000,0.500000,0.000000,0.000000,0.967014,0.969704,0.000000,0.000000,0.013827,0.482171,0.490176,0.485261,0.916667,0.920000
60,0.684801,0.682959,0.682959,0.713588,0.652330,0.244911,0.500000,0.500000,0.500000,1.000000,0.982639,0.982299,0.666667,0.000000,0.015475,0.510104,0.520847,0.513593,0.958333,0.960000,0.683194,0.683194,0.713531,0.652858,0.245029,0.500000,0.500000,0.500000,1.000000,0.961806,0.967008,0.666667,0.000000,0.015323,0.510070,0.520575,0.515225,0.916667,0.913043
61,0.688845,0.683555,0.683555,0.670278,0.696831,0.245205,0.708333,0.708333,1.000000,0.416667,0.970486,0.973041,0.588235,0.512989,0.200861,0.488422,0.498175,0.493384,0.895833,0.888889,0.683775,0.683775,0.670783,0.696768,0.245315,0.666667,0.666667,1.000000,0.333333,0.968750,0.972085,0.500000,0.447214,0.159182,0.488677,0.498209,0.493384,0.916667,0.913043
