sample_id,app_name,true_class,target_class,predicted_probability,expected_probability,probability_delta,predicted_label,expected_predicted_label,correct,split,checkpoint,target_layer,output_png
it2_B064,perf_fpga,benign,benign,0.487839,0.487839,1.406888e-08,0,0,True,fold_0,final,conv1,it2_B064_benign_gradcam.png
it2_B064,perf_fpga,benign,standalone,0.487839,0.487839,1.406888e-08,0,0,True,fold_0,final,conv1,it2_B064_standalone_gradcam.png
it2_S020,ro_13000,standalone,benign,0.519794,0.519794,4.185559e-08,1,1,True,fold_0,final,conv1,it2_S020_benign_gradcam.png
it2_S020,ro_13000,standalone,standalone,0.519794,0.519794,4.185559e-08,1,1,True,fold_0,final,conv1,it2_S020_standalone_gradcam.png
it2_B005,multithreading_aes,benign,benign,0.512667,0.512667,2.391556e-08,1,1,False,fold_0,final,conv1,it2_B005_benign_gradcam.png
it2_B005,multithreading_aes,benign,standalone,0.512667,0.512667,2.391556e-08,1,1,False,fold_0,final,conv1,it2_B005_standalone_gradcam.png
it1_B035,multithreading_aes,benign,benign,0.509640,0.509640,2.172607e-09,1,1,False,fold_0,final,conv1,it1_B035_benign_gradcam.png
it1_B035,multithreading_aes,benign,standalone,0.509640,0.509640,2.172607e-09,1,1,False,fold_0,final,conv1,it1_B035_standalone_gradcam.png
