input_resolution,num_layers,column_group,column,status,success,failed,running,skipped_red,other,total,experiments
128,5,Reuse Factor,RF8,empty,0,0,0,0,0,0,
128,5,Reuse Factor,RF16,empty,0,0,0,0,0,0,
128,5,Reuse Factor,RF32,empty,0,0,0,0,0,0,
128,6,Baseline,P1/2/3,success,1,0,0,0,0,1,res128_layers6_WfloatAfloat_P0_RFbase
128,6,Quantization,W2A2,empty,0,0,0,0,0,0,
128,6,Quantization,W3A3,empty,0,0,0,0,0,0,
128,6,Quantization,W4A4,empty,0,0,0,0,0,0,
128,6,Quantization,W6A6,empty,0,0,0,0,0,0,
128,6,Quantization,W8A8,success,1,0,0,0,0,1,res128_layers6_W8A8_P0_RFbase
128,6,Pruning,P25,empty,0,0,0,0,0,0,
128,6,Pruning,P50,failed,0,1,0,0,0,1,res128_layers6_W8A8_P50_RFbase
128,6,Pruning,P75,empty,0,0,0,0,0,0,
128,6,Reuse Factor,RF1,empty,0,0,0,0,0,0,
128,6,Reuse Factor,RF2,empty,0,0,0,0,0,0,
128,6,Reuse Factor,RF4,empty,0,0,0,0,0,0,
128,6,Reuse Factor,RF8,empty,0,0,0,0,0,0,
128,6,Reuse Factor,RF16,empty,0,0,0,0,0,0,
128,6,Reuse Factor,RF32,empty,0,0,0,0,0,0,
256,2,Baseline,P1/2/3,failed,0,1,0,0,0,1,res256_layers2_WfloatAfloat_P0_RFbase_boundary
256,2,Quantization,W2A2,empty,0,0,0,0,0,0,
256,2,Quantization,W3A3,empty,0,0,0,0,0,0,
256,2,Quantization,W4A4,empty,0,0,0,0,0,0,
256,2,Quantization,W6A6,empty,0,0,0,0,0,0,
256,2,Quantization,W8A8,empty,0,0,0,0,0,0,
256,2,Pruning,P25,empty,0,0,0,0,0,0,
256,2,Pruning,P50,empty,0,0,0,0,0,0,
256,2,Pruning,P75,empty,0,0,0,0,0,0,
256,2,Reuse Factor,RF1,empty,0,0,0,0,0,0,
256,2,Reuse Factor,RF2,empty,0,0,0,0,0,0,
256,2,Reuse Factor,RF4,empty,0,0,0,0,0,0,
256,2,Reuse Factor,RF8,empty,0,0,0,0,0,0,
256,2,Reuse Factor,RF16,empty,0,0,0,0,0,0,
256,2,Reuse Factor,RF32,empty,0,0,0,0,0,0,
256,3,Baseline,P1/2/3,success,1,0,0,0,0,1,res256_layers3_WfloatAfloat_P0_RFbase
256,3,Quantization,W2A2,success,1,0,0,0,0,1,res256_layers3_W2A2_P0_RFbase
256,3,Quantization,W3A3,success,1,0,0,0,0,1,res256_layers3_W3A3_P0_RFbase
256,3,Quantization,W4A4,success,1,0,0,0,0,1,res256_layers3_W4A4_P0_RFbase
256,3,Quantization,W6A6,success,1,0,0,0,0,1,res256_layers3_W6A6_P0_RFbase
256,3,Quantization,W8A8,success,1,0,0,0,0,1,res256_layers3_W8A8_P0_RFbase
256,3,Pruning,P25,empty,0,0,0,0,0,0,
256,3,Pruning,P50,empty,0,0,0,0,0,0,
256,3,Pruning,P75,empty,0,0,0,0,0,0,
256,3,Reuse Factor,RF1,empty,0,0,0,0,0,0,
256,3,Reuse Factor,RF2,empty,0,0,0,0,0,0,
256,3,Reuse Factor,RF4,empty,0,0,0,0,0,0,
256,3,Reuse Factor,RF8,empty,0,0,0,0,0,0,
256,3,Reuse Factor,RF16,empty,0,0,0,0,0,0,
256,3,Reuse Factor,RF32,empty,0,0,0,0,0,0,
256,4,Baseline,P1/2/3,success,1,0,0,0,0,1,res256_layers4_WfloatAfloat_P0_RFbase
256,4,Quantization,W2A2,success,1,0,0,0,0,1,res256_layers4_W2A2_P0_RFbase
256,4,Quantization,W3A3,success,1,0,0,0,0,1,res256_layers4_W3A3_P0_RFbase
