epoch,train_loss,val_bce_loss,val_log_loss,val_benign_log_loss,val_standalone_log_loss,val_brier_score,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_roc_auc,val_pr_auc,val_f1,val_mcc,val_ece,val_benign_mean_score,val_standalone_mean_score,val_optimal_threshold,val_optimal_accuracy,val_optimal_f1,aug_val_bce_loss,aug_val_log_loss,aug_val_benign_log_loss,aug_val_standalone_log_loss,aug_val_brier_score,aug_val_accuracy,aug_val_balanced_accuracy,aug_val_precision,aug_val_recall,aug_val_roc_auc,aug_val_pr_auc,aug_val_f1,aug_val_mcc,aug_val_ece,aug_val_benign_mean_score,aug_val_standalone_mean_score,aug_val_optimal_threshold,aug_val_optimal_accuracy,aug_val_optimal_f1
15,0.692045,0.691211,0.691211,0.702425,0.679510,0.249032,0.489362,0.500000,0.489362,1.000000,0.992754,0.992251,0.657143,0.000000,0.016356,0.504617,0.506866,0.505635,0.978723,0.978723,0.691243,0.691243,0.702496,0.679501,0.249048,0.489362,0.500000,0.489362,1.000000,0.985507,0.983707,0.657143,0.000000,0.016376,0.504652,0.506870,0.505618,0.957447,0.958333
16,0.695158,0.691048,0.691048,0.718206,0.662709,0.248951,0.489362,0.500000,0.489362,1.000000,0.992754,0.992251,0.657143,0.000000,0.024519,0.512373,0.515454,0.513745,0.978723,0.978723,0.691077,0.691077,0.718275,0.662697,0.248966,0.489362,0.500000,0.489362,1.000000,0.980072,0.976699,0.657143,0.000000,0.024539,0.512406,0.515461,0.513696,0.957447,0.958333
17,0.691754,0.692228,0.692228,0.668650,0.716831,0.249541,0.510638,0.500000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.001420,0.487600,0.488297,0.487915,1.000000,1.000000,0.692242,0.692242,0.668662,0.716847,0.249548,0.510638,0.500000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.001421,0.487606,0.488290,0.487874,1.000000,1.000000
18,0.692385,0.691636,0.691636,0.680026,0.703750,0.249244,0.510638,0.500000,0.000000,0.000000,0.998188,0.998188,0.000000,0.000000,0.004685,0.493396,0.494727,0.494001,0.978723,0.978723,0.691657,0.691657,0.680060,0.703758,0.249255,0.510638,0.500000,0.000000,0.000000,0.994565,0.994322,0.000000,0.000000,0.004692,0.493413,0.494723,0.493914,0.978723,0.978723
19,0.691264,0.691040,0.691040,0.708446,0.672876,0.248947,0.489362,0.500000,0.489362,1.000000,0.994565,0.994322,0.657143,0.000000,0.019525,0.507591,0.510240,0.508788,0.978723,0.978723,0.691075,0.691075,0.708487,0.672907,0.248965,0.489362,0.500000,0.489362,1.000000,0.985507,0.983707,0.657143,0.000000,0.019528,0.507611,0.510224,0.508638,0.957447,0.958333
20,0.691273,0.690665,0.690665,0.711241,0.669196,0.248760,0.489362,0.500000,0.489362,1.000000,0.992754,0.992251,0.657143,0.000000,0.021148,0.508964,0.512121,0.510396,0.978723,0.978723,0.690699,0.690699,0.711267,0.669237,0.248777,0.489362,0.500000,0.489362,1.000000,0.985507,0.983707,0.657143,0.000000,0.021144,0.508977,0.512101,0.510249,0.957447,0.958333
21,0.690185,0.690668,0.690668,0.731461,0.648101,0.248763,0.489362,0.500000,0.489362,1.000000,0.992754,0.992251,0.657143,0.000000,0.031510,0.518793,0.523040,0.520674,0.978723,0.978723,0.690706,0.690706,0.731504,0.648134,0.248783,0.489362,0.500000,0.489362,1.000000,0.980072,0.976699,0.657143,0.000000,0.031512,0.518813,0.523023,0.520577,0.957447,0.958333
22,0.690511,0.689630,0.689630,0.706350,0.672183,0.248242,0.489362,0.500000,0.489362,1.000000,0.996377,0.996298,0.657143,0.000000,0.019171,0.506557,0.510595,0.508347,0.978723,0.978723,0.689709,0.689709,0.706464,0.672225,0.248281,0.489362,0.500000,0.489362,1.000000,0.985507,0.983707,0.657143,0.000000,0.019189,0.506613,0.510573,0.508229,0.957447,0.958333
23,0.695369,0.689539,0.689539,0.692642,0.686300,0.248196,0.808511,0.812500,0.718750,1.000000,0.998188,0.998188,0.836364,0.670238,0.306445,0.499747,0.503437,0.501375,0.978723,0.978723,0.689627,0.689627,0.692754,0.686364,0.248240,0.787234,0.791667,0.696970,1.000000,0.989130,0.987789,0.821429,0.637625,0.285169,0.499802,0.503405,0.501221,0.978723,0.978723
24,0.691914,0.690589,0.690589,0.674670,0.707200,0.248721,0.510638,0.500000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.002463,0.490676,0.493024,0.491732,1.000000,1.000000,0.690644,0.690644,0.674720,0.707260,0.248749,0.510638,0.500000,0.000000,0.000000,0.996377,0.996298,0.000000,0.000000,0.002461,0.490701,0.492994,0.491531,0.978723,0.978723
25,0.690577,0.689584,0.689584,0.692791,0.686237,0.248218,0.787234,0.791667,0.696970,1.000000,0.996377,0.996298,0.821429,0.637625,0.285155,0.499821,0.503469,0.501485,0.978723,0.978723,0.689670,0.689670,0.692907,0.686292,0.248262,0.765957,0.770833,0.676471,1.000000,0.990942,0.990077,0.807018,0.605328,0.263876,0.499879,0.503441,0.501301,0.978723,0.978723
26,0.687917,0.689595,0.689595,0.738802,0.638248,0.248230,0.489362,0.500000,0.489362,1.000000,0.992754,0.992251,0.657143,0.000000,0.035841,0.522311,0.528221,0.525056,0.978723,0.978723,0.689688,0.689688,0.738949,0.638286,0.248277,0.489362,0.500000,0.489362,1.000000,0.983696,0.981974,0.657143,0.000000,0.035867,0.522380,0.528201,0.524844,0.957447,0.958333
27,0.688283,0.689035,0.689035,0.744563,0.631093,0.247953,0.489362,0.500000,0.489362,1.000000,0.992754,0.992251,0.657143,0.000000,0.039099,0.525054,0.532015,0.528278,0.978723,0.978723,0.689161,0.689161,0.744780,0.631124,0.248016,0.489362,0.500000,0.489362,1.000000,0.985507,0.983707,0.657143,0.000000,0.039143,0.525156,0.532000,0.528004,0.957447,0.958333
28,0.688552,0.687933,0.687933,0.685464,0.690509,0.247393,0.851064,0.847826,1.000000,0.695652,0.998188,0.998188,0.820513,0.733873,0.348199,0.496142,0.501325,0.498478,0.978723,0.978723,0.688085,0.688085,0.685672,0.690603,0.247469,0.851064,0.847826,1.000000,0.695652,0.990942,0.990077,0.820513,0.733873,0.348225,0.496247,0.501278,0.498184,0.978723,0.978723
29,0.689263,0.688470,0.688470,0.674958,0.702570,0.247662,0.510638,0.500000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.003658,0.490821,0.495314,0.492847,1.000000,1.000000,0.688588,0.688588,0.675095,0.702667,0.247721,0.510638,0.500000,0.000000,0.000000,0.994565,0.994322,0.000000,0.000000,0.003671,0.490891,0.495267,0.492482,0.978723,0.978723
30,0.688294,0.686813,0.686813,0.700328,0.672711,0.246834,0.510638,0.520833,0.500000,1.000000,0.998188,0.998188,0.666667,0.144338,0.017519,0.503575,0.510330,0.506675,0.978723,0.978723,0.687013,0.687013,0.700610,0.672824,0.246934,0.510638,0.520833,0.500000,1.000000,0.989130,0.987789,0.666667,0.144338,0.017562,0.503715,0.510272,0.506347,0.978723,0.978723
31,0.686552,0.685929,0.685929,0.734438,0.635311,0.246402,0.489362,0.500000,0.489362,1.000000,0.996377,0.996298,0.657143,0.000000,0.035537,0.520218,0.529782,0.524624,0.978723,0.978723,0.686192,0.686192,0.734885,0.635382,0.246533,0.489362,0.500000,0.489362,1.000000,0.985507,0.982816,0.657143,0.000000,0.035628,0.520432,0.529745,0.524262,0.978723,0.978723
32,0.687361,0.685629,0.685629,0.666633,0.705451,0.246242,0.531915,0.521739,1.000000,0.043478,1.000000,1.000000,0.083333,0.150613,0.022015,0.486564,0.493896,0.489578,1.000000,1.000000,0.685849,0.685849,0.666805,0.705721,0.246352,0.553191,0.543478,1.000000,0.086957,0.992754,0.992655,0.160000,0.215353,0.043260,0.486652,0.493764,0.488662,0.957447,0.958333
33,0.687550,0.682236,0.682236,0.711238,0.651972,0.244550,0.489362,0.500000,0.489362,1.000000,1.000000,1.000000,0.657143,0.000000,0.025508,0.508956,0.521040,0.514466,1.000000,1.000000,0.682599,0.682599,0.711740,0.652191,0.244732,0.489362,0.500000,0.489362,1.000000,0.990942,0.990077,0.657143,0.000000,0.025578,0.509202,0.520928,0.513612,0.978723,0.978723
