epoch,train_loss,val_bce_loss,val_log_loss,val_benign_log_loss,val_standalone_log_loss,val_brier_score,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_roc_auc,val_pr_auc,val_f1,val_mcc,val_ece,val_benign_mean_score,val_standalone_mean_score,val_optimal_threshold,val_optimal_accuracy,val_optimal_f1,aug_val_bce_loss,aug_val_log_loss,aug_val_benign_log_loss,aug_val_standalone_log_loss,aug_val_brier_score,aug_val_accuracy,aug_val_balanced_accuracy,aug_val_precision,aug_val_recall,aug_val_roc_auc,aug_val_pr_auc,aug_val_f1,aug_val_mcc,aug_val_ece,aug_val_benign_mean_score,aug_val_standalone_mean_score,aug_val_optimal_threshold,aug_val_optimal_accuracy,aug_val_optimal_f1
15,0.692796,0.692593,0.692593,0.692737,0.692449,0.249723,0.791667,0.791667,0.791667,0.791667,0.904514,0.927235,0.791667,0.583333,0.291354,0.499795,0.500349,0.500215,0.854167,0.829268,0.692587,0.692587,0.692721,0.692453,0.249720,0.833333,0.833333,0.863636,0.791667,0.906250,0.927882,0.826087,0.668994,0.333021,0.499787,0.500347,0.500201,0.854167,0.829268
16,0.693260,0.692710,0.692710,0.685205,0.700215,0.249781,0.500000,0.500000,0.000000,0.000000,0.939236,0.952323,0.000000,0.000000,0.003754,0.496013,0.496479,0.496185,0.895833,0.893617,0.692702,0.692702,0.685183,0.700220,0.249777,0.500000,0.500000,0.000000,0.000000,0.948785,0.960101,0.000000,0.000000,0.003761,0.496002,0.496476,0.496205,0.895833,0.888889
17,0.694342,0.692516,0.692516,0.706063,0.678970,0.249685,0.500000,0.500000,0.500000,1.000000,0.881944,0.912992,0.666667,0.000000,0.006778,0.506416,0.507139,0.506983,0.854167,0.829268,0.692504,0.692504,0.706037,0.678972,0.249679,0.500000,0.500000,0.500000,1.000000,0.885417,0.913884,0.666667,0.000000,0.006771,0.506403,0.507138,0.506975,0.854167,0.829268
18,0.692665,0.692557,0.692557,0.693311,0.691804,0.249705,0.666667,0.666667,0.600000,1.000000,0.923611,0.941127,0.750000,0.447214,0.166242,0.500082,0.500672,0.500384,0.875000,0.857143,0.692548,0.692548,0.693287,0.691808,0.249700,0.687500,0.687500,0.615385,1.000000,0.934028,0.948196,0.761905,0.480384,0.187078,0.500070,0.500670,0.500291,0.895833,0.893617
19,0.692805,0.692448,0.692448,0.694870,0.690025,0.249650,0.500000,0.500000,0.500000,1.000000,0.923611,0.941127,0.666667,0.000000,0.001212,0.500861,0.501564,0.501207,0.875000,0.857143,0.692436,0.692436,0.694844,0.690027,0.249644,0.500000,0.500000,0.500000,1.000000,0.930556,0.946156,0.666667,0.000000,0.001205,0.500848,0.501563,0.501111,0.895833,0.893617
20,0.692680,0.692247,0.692247,0.698443,0.686051,0.249550,0.500000,0.500000,0.500000,1.000000,0.901042,0.924117,0.666667,0.000000,0.003101,0.502641,0.503561,0.503327,0.854167,0.829268,0.692229,0.692229,0.698407,0.686052,0.249541,0.500000,0.500000,0.500000,1.000000,0.911458,0.930923,0.666667,0.000000,0.003092,0.502623,0.503561,0.503293,0.854167,0.829268
21,0.692395,0.692053,0.692053,0.702555,0.681552,0.249453,0.500000,0.500000,0.500000,1.000000,0.897569,0.921612,0.666667,0.000000,0.005257,0.504682,0.505832,0.505557,0.854167,0.829268,0.692032,0.692032,0.702517,0.681547,0.249442,0.500000,0.500000,0.500000,1.000000,0.902778,0.925423,0.666667,0.000000,0.005248,0.504663,0.505834,0.505518,0.854167,0.829268
22,0.692817,0.691919,0.691919,0.710812,0.673027,0.249386,0.500000,0.500000,0.500000,1.000000,0.881944,0.912100,0.666667,0.000000,0.009459,0.508754,0.510163,0.509864,0.854167,0.829268,0.691898,0.691898,0.710778,0.673019,0.249376,0.500000,0.500000,0.500000,1.000000,0.881944,0.911283,0.666667,0.000000,0.009452,0.508738,0.510167,0.509828,0.854167,0.829268
23,0.692996,0.692127,0.692127,0.693163,0.691090,0.249490,0.770833,0.770833,0.685714,1.000000,0.946181,0.958516,0.813559,0.609449,0.270191,0.500008,0.501030,0.500439,0.895833,0.888889,0.692110,0.692110,0.693136,0.691084,0.249481,0.770833,0.770833,0.685714,1.000000,0.949653,0.962602,0.813559,0.609449,0.270186,0.499994,0.501033,0.500439,0.916667,0.909091
24,0.692793,0.691954,0.691954,0.699403,0.684505,0.249404,0.500000,0.500000,0.500000,1.000000,0.925347,0.942367,0.666667,0.000000,0.003729,0.503118,0.504340,0.503724,0.875000,0.857143,0.691929,0.691929,0.699358,0.684500,0.249391,0.500000,0.500000,0.500000,1.000000,0.930556,0.946156,0.666667,0.000000,0.003719,0.503096,0.504343,0.503536,0.895833,0.893617
25,0.692767,0.691830,0.691830,0.701589,0.682071,0.249341,0.500000,0.500000,0.500000,1.000000,0.918403,0.935562,0.666667,0.000000,0.004886,0.504203,0.505569,0.505191,0.854167,0.829268,0.691801,0.691801,0.701537,0.682066,0.249327,0.500000,0.500000,0.500000,1.000000,0.923611,0.940542,0.666667,0.000000,0.004875,0.504177,0.505572,0.505128,0.854167,0.829268
26,0.692421,0.691922,0.691922,0.690823,0.693021,0.249387,0.833333,0.833333,1.000000,0.666667,0.958333,0.968292,0.800000,0.707107,0.332491,0.498836,0.500063,0.499373,0.916667,0.909091,0.691900,0.691900,0.690782,0.693018,0.249376,0.833333,0.833333,1.000000,0.666667,0.958333,0.968776,0.800000,0.707107,0.332475,0.498816,0.500065,0.499355,0.937500,0.933333
27,0.692620,0.691781,0.691781,0.691454,0.692108,0.249317,0.854167,0.854167,1.000000,0.708333,0.954861,0.964579,0.829268,0.740532,0.353368,0.499153,0.500520,0.499725,0.895833,0.888889,0.691753,0.691753,0.691399,0.692107,0.249303,0.854167,0.854167,1.000000,0.708333,0.956597,0.967868,0.829268,0.740532,0.353351,0.499125,0.500521,0.499709,0.937500,0.933333
28,0.692962,0.691460,0.691460,0.707276,0.675644,0.249157,0.500000,0.500000,0.500000,1.000000,0.904514,0.926142,0.666667,0.000000,0.007922,0.507014,0.508830,0.508391,0.854167,0.829268,0.691425,0.691425,0.707212,0.675638,0.249139,0.500000,0.500000,0.500000,1.000000,0.902778,0.923910,0.666667,0.000000,0.007908,0.506983,0.508833,0.508314,0.854167,0.829268
29,0.692354,0.691584,0.691584,0.695023,0.688144,0.249218,0.520833,0.520833,0.510638,1.000000,0.944444,0.956712,0.676056,0.145865,0.019090,0.500937,0.502508,0.501662,0.895833,0.883721,0.691550,0.691550,0.694959,0.688142,0.249202,0.520833,0.520833,0.510638,1.000000,0.944444,0.957085,0.676056,0.145865,0.019104,0.500905,0.502510,0.501662,0.895833,0.883721
30,0.692413,0.691608,0.691608,0.690365,0.692852,0.249231,0.833333,0.833333,1.000000,0.666667,0.954861,0.964579,0.800000,0.707107,0.332295,0.498607,0.500148,0.499260,0.895833,0.888889,0.691577,0.691577,0.690303,0.692851,0.249215,0.833333,0.833333,1.000000,0.666667,0.958333,0.968776,0.800000,0.707107,0.332273,0.498576,0.500149,0.499233,0.937500,0.933333
31,0.693101,0.691278,0.691278,0.708286,0.674270,0.249066,0.500000,0.500000,0.500000,1.000000,0.904514,0.926142,0.666667,0.000000,0.008521,0.507512,0.509530,0.509039,0.854167,0.829268,0.691241,0.691241,0.708224,0.674258,0.249047,0.500000,0.500000,0.500000,1.000000,0.909722,0.928365,0.666667,0.000000,0.008508,0.507481,0.509536,0.508946,0.854167,0.829268
