Sample in Buffer,Sample in Window,TRIGGER,inst_shell/inst_dynamic/inst_user_wrapper_0/inst_user_c0_0/axis_host_recv[0]\\.tvalid,inst_shell/inst_dynamic/inst_user_wrapper_0/inst_user_c0_0/axis_host_recv[0]\\.tready,inst_shell/inst_dynamic/inst_user_wrapper_0/inst_user_c0_0/axis_host_recv[0]\\.tlast,inst_shell/inst_dynamic/inst_user_wrapper_0/inst_user_c0_0/axis_host_recv[0]\\.tdata[511:0],inst_shell/inst_dynamic/inst_user_wrapper_0/inst_user_c0_0/axis_host_recv[1]\\.tvalid,inst_shell/inst_dynamic/inst_user_wrapper_0/inst_user_c0_0/axis_host_recv[1]\\.tready,inst_shell/inst_dynamic/inst_user_wrapper_0/inst_user_c0_0/axis_host_recv[1]\\.tlast,inst_shell/inst_dynamic/inst_user_wrapper_0/inst_user_c0_0/axis_host_recv[1]\\.tdata[511:0],inst_shell/inst_dynamic/inst_user_wrapper_0/inst_user_c0_0/axis_host_send[0]\\.tvalid,inst_shell/inst_dynamic/inst_user_wrapper_0/inst_user_c0_0/axis_host_send[0]\\.tready,inst_shell/inst_dynamic/inst_user_wrapper_0/inst_user_c0_0/axis_host_send[0]\\.tlast,inst_shell/inst_dynamic/inst_user_wrapper_0/inst_user_c0_0/axis_host_send[0]\\.tdata[511:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
46,46,0,0,1,1,0000001f0000001d0000001b00000019000000170000001500000013000000110000000f0000000d0000000b0000000900000007000000050000000300000001,0,1,1,000000200000001e0000001c0000001a00000018000000160000001400000012000000100000000e0000000c0000000a00000008000000060000000400000002,0,1,1,0000003f0000003b00000037000000330000002f0000002b00000027000000230000001f0000001b00000017000000130000000f0000000b0000000700000003
47,47,0,0,1,1,0000001f0000001d0000001b00000019000000170000001500000013000000110000000f0000000d0000000b0000000900000007000000050000000300000001,0,1,1,000000200000001e0000001c0000001a00000018000000160000001400000012000000100000000e0000000c0000000a00000008000000060000000400000002,0,1,1,0000003f0000003b00000037000000330000002f0000002b00000027000000230000001f0000001b00000017000000130000000f0000000b0000000700000003
48,48,0,0,1,1,0000001f0000001d0000001b00000019000000170000001500000013000000110000000f0000000d0000000b0000000900000007000000050000000300000001,0,1,1,000000200000001e0000001c0000001a00000018000000160000001400000012000000100000000e0000000c0000000a00000008000000060000000400000002,0,1,1,0000003f0000003b00000037000000330000002f0000002b00000027000000230000001f0000001b00000017000000130000000f0000000b0000000700000003
49,49,0,0,1,1,0000001f0000001d0000001b00000019000000170000001500000013000000110000000f0000000d0000000b0000000900000007000000050000000300000001,0,1,1,000000200000001e0000001c0000001a00000018000000160000001400000012000000100000000e0000000c0000000a00000008000000060000000400000002,0,1,1,0000003f0000003b00000037000000330000002f0000002b00000027000000230000001f0000001b00000017000000130000000f0000000b0000000700000003
50,50,0,0,1,1,0000001f0000001d0000001b00000019000000170000001500000013000000110000000f0000000d0000000b0000000900000007000000050000000300000001,0,1,1,000000200000001e0000001c0000001a00000018000000160000001400000012000000100000000e0000000c0000000a00000008000000060000000400000002,0,1,1,0000003f0000003b00000037000000330000002f0000002b00000027000000230000001f0000001b00000017000000130000000f0000000b0000000700000003
51,51,0,0,1,1,0000001f0000001d0000001b00000019000000170000001500000013000000110000000f0000000d0000000b0000000900000007000000050000000300000001,0,1,1,000000200000001e0000001c0000001a00000018000000160000001400000012000000100000000e0000000c0000000a00000008000000060000000400000002,0,1,1,0000003f0000003b00000037000000330000002f0000002b00000027000000230000001f0000001b00000017000000130000000f0000000b0000000700000003
52,52,0,0,1,1,0000001f0000001d0000001b00000019000000170000001500000013000000110000000f0000000d0000000b0000000900000007000000050000000300000001,0,1,1,000000200000001e0000001c0000001a00000018000000160000001400000012000000100000000e0000000c0000000a00000008000000060000000400000002,0,1,1,0000003f0000003b00000037000000330000002f0000002b00000027000000230000001f0000001b00000017000000130000000f0000000b0000000700000003
53,53,0,0,1,1,0000001f0000001d0000001b00000019000000170000001500000013000000110000000f0000000d0000000b0000000900000007000000050000000300000001,0,1,1,000000200000001e0000001c0000001a00000018000000160000001400000012000000100000000e0000000c0000000a00000008000000060000000400000002,0,1,1,0000003f0000003b00000037000000330000002f0000002b00000027000000230000001f0000001b00000017000000130000000f0000000b0000000700000003
54,54,0,0,1,1,0000001f0000001d0000001b00000019000000170000001500000013000000110000000f0000000d0000000b0000000900000007000000050000000300000001,0,1,1,000000200000001e0000001c0000001a00000018000000160000001400000012000000100000000e0000000c0000000a00000008000000060000000400000002,0,1,1,0000003f0000003b00000037000000330000002f0000002b00000027000000230000001f0000001b00000017000000130000000f0000000b0000000700000003
55,55,0,0,1,1,0000001f0000001d0000001b00000019000000170000001500000013000000110000000f0000000d0000000b0000000900000007000000050000000300000001,0,1,1,000000200000001e0000001c0000001a00000018000000160000001400000012000000100000000e0000000c0000000a00000008000000060000000400000002,0,1,1,0000003f0000003b00000037000000330000002f0000002b00000027000000230000001f0000001b00000017000000130000000f0000000b0000000700000003
56,56,0,0,1,1,0000001f0000001d0000001b00000019000000170000001500000013000000110000000f0000000d0000000b0000000900000007000000050000000300000001,0,1,1,000000200000001e0000001c0000001a00000018000000160000001400000012000000100000000e0000000c0000000a00000008000000060000000400000002,0,1,1,0000003f0000003b00000037000000330000002f0000002b00000027000000230000001f0000001b00000017000000130000000f0000000b0000000700000003
57,57,0,0,1,1,0000001f0000001d0000001b00000019000000170000001500000013000000110000000f0000000d0000000b0000000900000007000000050000000300000001,0,1,1,000000200000001e0000001c0000001a00000018000000160000001400000012000000100000000e0000000c0000000a00000008000000060000000400000002,0,1,1,0000003f0000003b00000037000000330000002f0000002b00000027000000230000001f0000001b00000017000000130000000f0000000b0000000700000003
58,58,0,0,1,1,0000001f0000001d0000001b00000019000000170000001500000013000000110000000f0000000d0000000b0000000900000007000000050000000300000001,0,1,1,000000200000001e0000001c0000001a00000018000000160000001400000012000000100000000e0000000c0000000a00000008000000060000000400000002,0,1,1,0000003f0000003b00000037000000330000002f0000002b00000027000000230000001f0000001b00000017000000130000000f0000000b0000000700000003
59,59,0,0,1,1,0000001f0000001d0000001b00000019000000170000001500000013000000110000000f0000000d0000000b0000000900000007000000050000000300000001,0,1,1,000000200000001e0000001c0000001a00000018000000160000001400000012000000100000000e0000000c0000000a00000008000000060000000400000002,0,1,1,0000003f0000003b00000037000000330000002f0000002b00000027000000230000001f0000001b00000017000000130000000f0000000b0000000700000003
