fold,final_epoch,val_roc_auc,val_accuracy,val_optimal_accuracy,val_optimal_f1,val_optimal_threshold,val_bce_loss
0,300,0.9010416666666667,0.75,0.8541666666666666,0.8627450980392157,0.7718337774276733,0.5267602536573625
1,300,0.9010416666666666,0.8333333333333334,0.8333333333333334,0.8095238095238095,0.7515270113945007,0.38349786256845547
2,300,0.9461805555555556,0.8541666666666666,0.875,0.8695652173913043,0.6892499327659607,0.3431136867840916
3,300,0.9637681159420289,0.9361702127659575,0.9574468085106383,0.9545454545454546,0.5300023555755615,0.263285248116162
4,300,0.9347826086956522,0.851063829787234,0.851063829787234,0.8292682926829268,0.7084676623344421,0.3773780300289214
