sample_id,app_name,true_class,target_class,predicted_probability,expected_probability,probability_delta,predicted_label,expected_predicted_label,correct,split,checkpoint,target_layer,output_png
it1_B064,perf_fpga,benign,benign,0.267887,0.265595,2.292047e-03,0,0,True,fold_1,final,conv5,it1_B064_benign_gradcam.png
it1_B064,perf_fpga,benign,standalone,0.267887,0.265595,2.292047e-03,0,0,True,fold_1,final,conv5,it1_B064_standalone_gradcam.png
it2_S029,ro_22000,standalone,benign,0.633297,0.630685,2.611927e-03,1,1,True,fold_1,final,conv5,it2_S029_benign_gradcam.png
it2_S029,ro_22000,standalone,standalone,0.633297,0.630685,2.611927e-03,1,1,True,fold_1,final,conv5,it2_S029_standalone_gradcam.png
it1_B017,multitenancy_aes,benign,benign,0.490114,0.505981,1.586757e-02,0,1,False,fold_1,final,conv5,it1_B017_benign_gradcam.png
it1_B017,multitenancy_aes,benign,standalone,0.490114,0.505981,1.586757e-02,0,1,False,fold_1,final,conv5,it1_B017_standalone_gradcam.png
it2_S032,ro_10000,standalone,benign,0.442757,0.444203,1.446138e-03,0,0,False,fold_1,final,conv5,it2_S032_benign_gradcam.png
it2_S032,ro_10000,standalone,standalone,0.442757,0.444203,1.446138e-03,0,0,False,fold_1,final,conv5,it2_S032_standalone_gradcam.png
